code,region,pop
1101053,사직동,418
1101054,삼청동,112
1101055,부암동,458
1101056,평창동,429
1101057,무악동,102
1101058,교남동,326
1101060,가회동,146
1101061,종로1·2·3·4가동,753
1101063,종로5·6가동,614
1101064,이화동,774
1101067,창신1동,1283
1101068,창신2동,1874
1101069,창신3동,319
1101070,숭인1동,527
1101071,숭인2동,838
1101072,청운효자동,204
1101073,혜화동,3433
1102052,소공동,408
1102054,회현동,629
1102055,명동,500
1102057,필동,969
1102058,장충동,1136
1102059,광희동,1693
1102060,을지로동,189
1102065,신당5동,706
1102067,황학동,1587
1102068,중림동,468
1102069,신당동,2336
1102070,다산동,877
1102071,약수동,477
1102072,청구동,386
1102073,동화동,372
1103051,후암동,835
1103052,용산2가동,1449
1103053,남영동,690
1103057,원효로2동,256
1103058,효창동,194
1103059,용문동,234
1103063,이촌1동,1468
1103064,이촌2동,228
1103065,이태원1동,2174
1103066,이태원2동,1690
1103069,서빙고동,859
1103070,보광동,1985
1103071,청파동,1093
1103072,원효로1동,702
1103073,한강로동,2058
1103074,한남동,3190
1104052,왕십리2동,644
1104054,마장동,1160
1104055,사근동,2056
1104056,행당1동,529
1104057,행당2동,228
1104058,응봉동,150
1104059,금호1가동,253
1104062,금호4가동,444
1104065,성수1가1동,633
1104066,성수1가2동,576
1104067,성수2가1동,1139
1104068,성수2가3동,501
1104069,송정동,784
1104070,용답동,1563
1104071,왕십리도선동,985
1104072,금호2·3가동,464
1104073,옥수동,777
1105053,화양동,3865
1105054,군자동,2890
1105055,중곡1동,735
1105056,중곡2동,747
1105057,중곡3동,553
1105058,중곡4동,754
1105059,능동,440
1105060,구의1동,1246
1105061,구의2동,852
1105062,구의3동,638
1105063,광장동,376
1105064,자양1동,1881
1105065,자양2동,857
1105066,자양3동,665
1105067,자양4동,6372
1106071,회기동,2759
1106072,휘경1동,2237
1106073,휘경2동,1097
1106080,청량리동,1095
1106081,용신동,2391
1106082,제기동,2937
1106083,전농1동,950
1106084,전농2동,591
1106086,답십리2동,625
1106087,장안1동,1111
1106088,장안2동,733
1106089,이문1동,3727
1106090,이문2동,844
1106091,답십리1동,737
1107052,면목2동,694
1107054,면목4동,646
1107055,면목5동,270
1107057,면목7동,646
1107059,상봉1동,357
1107060,상봉2동,702
1107061,중화1동,374
1107062,중화2동,1075
1107064,묵1동,427
1107065,묵2동,481
1107068,망우3동,717
1107069,신내1동,365
1107070,신내2동,201
1107071,면목본동,1615
1107072,면목3·8동,816
1107073,망우본동,719
1108058,돈암1동,198
1108059,돈암2동,263
1108060,안암동,2117
1108061,보문동,656
1108062,정릉1동,291
1108063,정릉2동,420
1108064,정릉3동,1888
1108065,정릉4동,662
1108066,길음1동,411
1108068,길음2동,266
1108071,월곡1동,496
1108072,월곡2동,858
1108076,장위1동,425
1108077,장위2동,462
1108078,장위3동,363
1108081,성북동,712
1108082,삼선동,852
1108083,동선동,845
1108084,종암동,2245
1108085,석관동,1574
1109060,번1동,740
1109061,번2동,264
1109062,번3동,198
1109063,수유1동,506
1109064,수유2동,355
1109065,수유3동,768
1109069,삼양동,426
1109070,미아동,878
1109071,송중동,1070
1109072,송천동,928
1109073,삼각산동,301
1109074,우이동,356
1109075,인수동,592
1110051,쌍문1동,471
1110052,쌍문2동,370
1110053,쌍문3동,364
1110054,쌍문4동,131
1110055,방학1동,519
1110056,방학2동,508
1110057,방학3동,193
1110059,창1동,324
1110060,창2동,584
1110061,창3동,288
1110062,창4동,188
1110063,창5동,263
1110064,도봉1동,359
1110065,도봉2동,314
1111051,월계1동,943
1111052,월계2동,429
1111053,월계3동,404
1111056,공릉2동,1230
1111058,하계1동,811
1111059,하계2동,139
1111060,중계본동,155
1111061,중계1동,209
1111064,중계4동,117
1111065,상계1동,338
1111066,상계2동,333
1111069,상계5동,306
1111072,상계8동,120
1111073,상계9동,227
1111074,상계10동,122
1111076,상계3·4동,316
1111077,상계6·7동,312
1111078,중계2·3동,351
1111079,공릉1동,890
1112051,녹번동,802
1112052,불광1동,681
1112055,갈현1동,475
1112056,갈현2동,733
1112057,구산동,572
1112058,대조동,783
1112059,응암1동,575
1112060,응암2동,491
1112065,신사1동,480
1112066,신사2동,346
1112067,증산동,265
1112068,수색동,124
1112071,진관동,629
1112072,불광2동,689
1112073,응암3동,712
1112074,역촌동,984
1113052,천연동,454
1113062,홍제1동,473
1113064,홍제3동,299
1113065,홍제2동,211
1113066,홍은1동,418
1113068,홍은2동,1168
1113069,남가좌1동,446
1113070,남가좌2동,1526
1113071,북가좌1동,303
1113072,북가좌2동,744
1113073,충현동,676
1113074,북아현동,567
1113075,신촌동,4938
1113076,연희동,3955
1114059,용강동,702
1114060,대흥동,1952
1114061,염리동,565
1114063,신수동,690
1114066,서교동,2285
1114068,합정동,639
1114069,망원1동,622
1114070,망원2동,455
1114071,연남동,1299
1114072,성산1동,566
1114073,성산2동,630
1114074,상암동,823
1114075,도화동,475
1114076,서강동,1051
1114077,공덕동,1285
1114078,아현동,728
1115051,목1동,362
1115052,목2동,527
1115053,목3동,436
1115054,목4동,506
1115057,신월1동,735
1115058,신월2동,469
1115059,신월3동,501
1115060,신월4동,293
1115061,신월5동,408
1115062,신월6동,133
1115063,신월7동,402
1115064,신정1동,269
1115065,신정2동,346
1115066,신정3동,1020
1115069,신정6동,123
1115070,신정7동,456
1115071,목5동,281
1115072,신정4동,1511
1116051,염창동,293
1116052,등촌1동,373
1116053,등촌2동,257
1116054,등촌3동,504
1116055,화곡본동,1008
1116057,화곡2동,710
1116058,화곡3동,413
1116059,화곡4동,786
1116061,화곡6동,509
1116063,화곡8동,1047
1116064,가양1동,558
1116065,가양2동,217
1116066,가양3동,285
1116067,발산1동,393
1116069,공항동,1155
1116070,방화1동,682
1116071,방화2동,657
1116072,방화3동,347
1116073,화곡1동,2336
1116074,우장산동,488
1117051,신도림동,677
1117052,구로1동,346
1117054,구로3동,3791
1117055,구로4동,8918
1117056,구로5동,5885
1117061,고척1동,799
1117062,고척2동,1354
1117064,개봉2동,1123
1117065,개봉3동,979
1117067,오류1동,1456
1117068,오류2동,1795
1117069,수궁동,838
1117070,가리봉동,8515
1117071,구로2동,15889
1117072,개봉1동,2092
1117073,항동,421
1118051,가산동,5316
1118052,독산1동,4065
1118053,독산2동,3445
1118054,독산3동,7854
1118055,독산4동,3892
1118057,시흥1동,4171
1118058,시흥2동,374
1118059,시흥3동,391
1118060,시흥4동,1678
1118061,시흥5동,1433
1119054,여의동,737
1119055,당산1동,910
1119056,당산2동,854
1119061,양평1동,528
1119062,양평2동,442
1119063,신길1동,3285
1119065,신길3동,2425
1119066,신길4동,1698
1119067,신길5동,2462
1119068,신길6동,2153
1119069,신길7동,491
1119070,대림1동,5550
1119071,대림2동,13689
1119072,대림3동,8115
1119073,영등포본동,4610
1119074,영등포동,1145
1119075,도림동,4950
1119076,문래동,488
1120052,노량진2동,1523
1120053,상도1동,2294
1120054,상도2동,656
1120055,상도3동,792
1120056,상도4동,850
1120063,사당1동,1186
1120065,사당3동,541
1120066,사당4동,372
1120067,사당5동,267
1120068,대방동,840
1120069,신대방1동,4328
1120070,신대방2동,617
1120071,흑석동,2858
1120072,노량진1동,631
1120073,사당2동,890
1121052,보라매동,1095
1121054,청림동,283
1121057,행운동,950
1121058,낙성대동,2033
1121061,중앙동,806
1121062,인헌동,629
1121063,남현동,445
1121064,서원동,1268
1121065,신원동,2094
1121066,서림동,1022
1121068,신사동,5296
1121069,신림동,1336
1121071,난향동,324
1121072,조원동,3348
1121073,대학동,1111
1121078,은천동,1144
1121079,성현동,510
1121080,청룡동,2222
1121081,난곡동,1165
1121082,삼성동,464
1121083,미성동,1416
1122051,서초1동,463
1122052,서초2동,565
1122053,서초3동,714
1122054,서초4동,621
1122055,잠원동,504
1122056,반포본동,130
1122057,반포1동,845
1122058,반포2동,559
1122059,반포3동,232
1122060,반포4동,999
1122061,방배본동,463
1122062,방배1동,319
1122063,방배2동,329
1122064,방배3동,367
1122065,방배4동,586
1122066,양재1동,897
1122067,양재2동,464
1122068,내곡동,269
1123051,신사동,561
1123052,논현1동,1092
1123053,논현2동,638
1123058,삼성1동,430
1123059,삼성2동,691
1123060,대치1동,225
1123063,대치4동,560
1123064,역삼1동,1514
1123065,역삼2동,727
1123066,도곡1동,336
1123067,도곡2동,614
1123068,개포1동,93
1123071,개포4동,343
1123072,일원본동,150
1123073,일원1동,329
1123074,일원2동,193
1123075,수서동,228
1123076,세곡동,586
1123077,압구정동,691
1123078,청담동,740
1123079,대치2동,381
1123080,개포2동,226
1124051,풍납1동,1396
1124052,풍납2동,403
1124053,거여1동,207
1124054,거여2동,209
1124055,마천1동,454
1124056,마천2동,441
1124057,방이1동,209
1124058,방이2동,937
1124059,오륜동,99
1124060,오금동,528
1124061,송파1동,753
1124062,송파2동,326
1124063,석촌동,1240
1124064,삼전동,830
1124065,가락본동,649
1124066,가락1동,307
1124067,가락2동,435
1124068,문정1동,361
1124069,문정2동,440
1124071,잠실본동,1054
1124075,잠실4동,226
1124077,잠실6동,345
1124078,잠실7동,121
1124079,잠실2동,344
1124080,잠실3동,506
1124081,장지동,461
1124082,위례동,258
1125051,강일동,441
1125052,상일동,332
1125053,명일1동,205
1125054,명일2동,96
1125055,고덕1동,288
1125056,고덕2동,321
1125058,암사2동,147
1125059,암사3동,154
1125061,천호1동,614
1125063,천호3동,1001
1125065,성내1동,315
1125066,성내2동,1389
1125067,성내3동,476
1125070,둔촌1동,
1125071,둔촌2동,379
1125072,암사1동,698
1125073,천호2동,1526
1125074,길동,789
2101051,중앙동,414
2101052,동광동,298
2101053,대청동,103
2101054,보수동,311
2101056,부평동,321
2101057,광복동,25
2101058,남포동,326
2101059,영주1동,397
2101060,영주2동,241
2102051,동대신1동,52
2102052,동대신2동,88
2102053,동대신3동,79
2102054,서대신1동,126
2102056,서대신3동,96
2102057,서대신4동,52
2102059,부민동,383
2102061,아미동,117
2102063,초장동,73
2102064,충무동,532
2102065,남부민1동,362
2102068,암남동,582
2102069,남부민2동,296
2103051,초량1동,971
2103052,초량2동,557
2103053,초량3동,487
2103055,초량6동,105
2103056,수정1동,51
2103057,수정2동,145
2103059,수정4동,76
2103060,수정5동,44
2103066,범일2동,153
2103068,범일5동,25
2103070,좌천동,129
2103071,범일1동,171
2104053,남항동,593
2104054,영선1동,168
2104055,영선2동,156
2104059,봉래1동,181
2104063,청학1동,110
2104064,청학2동,320
2104065,동삼1동,789
2104066,동삼2동,233
2104067,동삼3동,152
2104068,신선동,133
2104069,봉래2동,76
2105052,부전2동,206
2105054,연지동,152
2105055,초읍동,171
2105056,양정1동,231
2105057,양정2동,115
2105061,전포2동,301
2105064,부암1동,197
2105066,부암3동,113
2105068,당감2동,119
2105070,당감4동,108
2105072,가야2동,223
2105074,개금1동,244
2105075,개금2동,177
2105076,개금3동,239
2105077,범천1동,167
2105080,당감제1동,340
2105081,가야제1동,907
2105082,부전1동,226
2105083,전포1동,235
2105084,범천2동,230
2106051,수민동,251
2106052,복산동,67
2106055,온천1동,273
2106056,온천2동,125
2106057,온천3동,331
2106058,사직1동,103
2106059,사직2동,161
2106060,사직3동,152
2106061,안락1동,137
2106062,안락2동,225
2106063,명장1동,108
2106064,명장2동,112
2106065,명륜동,172
2107053,대연3동,3259
2107054,대연4동,111
2107055,대연5동,331
2107056,대연6동,133
2107057,용호1동,704
2107058,용호2동,262
2107059,용호3동,167
2107060,용호4동,140
2107061,용당동,336
2107062,감만1동,240
2107063,감만2동,113
2107066,문현1동,135
2107067,문현2동,141
2107068,문현3동,172
2107069,문현4동,130
2107070,대연1동,1565
2107071,우암동,130
2108051,구포1동,264
2108052,구포2동,452
2108053,구포3동,1679
2108054,금곡동,411
2108055,화명1동,256
2108056,덕천1동,135
2108057,덕천2동,222
2108058,덕천3동,175
2108059,만덕1동,139
2108060,만덕2동,210
2108061,만덕3동,139
2108062,화명2동,155
2108063,화명3동,209
2109053,중1동,591
2109054,중2동,441
2109056,송정동,181
2109058,반여2동,190
2109059,반여3동,145
2109062,반송2동,429
2109064,재송1동,350
2109065,재송2동,273
2109066,좌1동,172
2109067,좌2동,347
2109068,좌3동,259
2109069,좌4동,88
2109070,반여1동,340
2109071,반여4동,80
2109072,반송1동,1083
2109073,우1동,441
2109074,우2동,391
2109075,우3동,739
2110051,괴정1동,214
2110052,괴정2동,188
2110053,괴정3동,144
2110054,괴정4동,150
2110055,당리동,251
2110056,하단1동,361
2110057,하단2동,658
2110058,신평1동,666
2110059,신평2동,631
2110060,장림1동,1015
2110061,장림2동,833
2110062,다대1동,1212
2110063,다대2동,365
2110064,구평동,258
2110065,감천1동,454
2110066,감천2동,98
2111051,서1동,48
2111052,서2동,144
2111057,부곡1동,125
2111058,부곡2동,158
2111059,부곡3동,161
2111060,부곡4동,132
2111061,장전1동,1852
2111062,장전2동,699
2111064,선두구동,21
2111067,청룡노포동,121
2111068,남산동,1292
2111069,구서1동,178
2111070,구서2동,208
2111071,금성동,9
2111072,서3동,195
2111073,금사회동동,348
2112051,대저1동,217
2112052,대저2동,237
2112053,강동동,221
2112055,가락동,145
2112056,녹산동,5296
2112058,가덕도동,67
2112059,명지1동,524
2112060,명지2동,278
2113051,거제1동,139
2113052,거제2동,61
2113053,거제3동,81
2113054,거제4동,78
2113055,연산1동,135
2113056,연산2동,194
2113057,연산3동,91
2113058,연산4동,204
2113059,연산5동,240
2113060,연산6동,188
2113062,연산8동,143
2113063,연산9동,262
2114051,남천1동,192
2114052,남천2동,159
2114053,수영동,248
2114054,망미1동,204
2114055,망미2동,158
2114056,광안1동,330
2114057,광안2동,430
2114058,광안3동,128
2114059,광안4동,167
2114060,민락동,439
2115051,삼락동,724
2115052,모라1동,677
2115054,모라3동,160
2115055,덕포1동,482
2115056,덕포2동,522
2115057,괘법동,1239
2115060,주례1동,172
2115061,주례2동,1118
2115062,주례3동,199
2115063,학장동,1015
2115064,엄궁동,562
2115065,감전동,833
2131011,기장읍,872
2131012,장안읍,487
2131013,정관읍,1727
2131031,일광면,244
2131033,철마면,179
2201054,삼덕동,154
2201056,성내1동,108
2201059,성내2동,125
2201061,성내3동,38
2201062,대신동,58
2201064,남산1동,90
2201065,남산2동,57
2201066,남산3동,87
2201067,남산4동,119
2201068,대봉1동,63
2201069,대봉2동,24
2201070,동인동,158
2202051,신암1동,113
2202052,신암2동,102
2202053,신암3동,95
2202054,신암4동,174
2202055,신암5동,96
2202056,신천1·2동,84
2202058,신천3동,105
2202059,신천4동,144
2202060,효목1동,197
2202061,효목2동,114
2202062,도평동,45
2202063,불로·봉무동,303
2202065,지저동,215
2202066,동촌동,276
2202068,방촌동,206
2202069,해안동,208
2202071,공산동,127
2202073,안심1동,605
2202074,안심2동,159
2202076,안심3동,219
2202077,안심4동,299
2202078,혁신동,144
2203051,내당1동,95
2203052,내당2·3동,150
2203053,내당4동,212
2203054,비산1동,226
2203055,비산2·3동,186
2203056,비산4동,150
2203057,비산5동,324
2203058,비산6동,150
2203059,비산7동,1491
2203060,평리1동,120
2203061,평리2동,96
2203062,평리3동,199
2203063,평리4동,229
2203064,평리5동,57
2203065,평리6동,166
2203066,상중이동,595
2203068,원대동,166
2204051,이천동,144
2204053,봉덕1동,114
2204054,봉덕2동,120
2204055,봉덕3동,300
2204056,대명1동,142
2204057,대명2동,182
2204058,대명3동,254
2204059,대명4동,133
2204060,대명5동,560
2204061,대명6동,99
2204064,대명9동,217
2204065,대명10동,123
2204066,대명11동,127
2205051,고성동,46
2205052,칠성동,251
2205055,침산1동,261
2205056,침산2동,155
2205057,침산3동,206
2205061,산격1동,168
2205062,산격2동,195
2205063,산격3동,1395
2205064,산격4동,238
2205065,복현1동,562
2205066,복현2동,611
2205070,검단동,304
2205071,무태조야동,436
2205074,태전2동,305
2205075,관문동,422
2205076,읍내동,291
2205077,관음동,291
2205078,태전1동,314
2205079,구암동,331
2205081,노원동,644
2205082,동천동,200
2205083,국우동,280
2205084,대현동,775
2206051,범어1동,89
2206052,범어2동,219
2206053,범어3동,132
2206054,범어4동,108
2206055,만촌1동,143
2206056,만촌2동,171
2206057,만촌3동,309
2206058,수성1가동,93
2206059,수성2·3가동,77
2206060,수성4가동,100
2206061,황금1동,76
2206062,황금2동,158
2206063,중동,146
2206064,상동,204
2206065,파동,68
2206066,두산동,162
2206067,지산1동,252
2206068,지산2동,104
2206069,범물1동,96
2206070,범물2동,83
2206071,고산1동,131
2206072,고산2동,139
2206073,고산3동,178
2207055,두류3동,127
2207056,본리동,704
2207057,감삼동,310
2207058,죽전동,286
2207059,장기동,643
2207060,이곡1동,835
2207061,신당동,5451
2207062,월성1동,204
2207063,월성2동,1539
2207064,진천동,786
2207065,상인1동,177
2207066,상인2동,244
2207067,상인3동,152
2207068,도원동,230
2207069,송현1동,664
2207070,송현2동,401
2207071,본동,1107
2207072,용산1동,416
2207073,용산2동,474
2207074,이곡2동,744
2207075,성당동,406
2207076,두류1·2동,279
2231011,화원읍,758
2231012,논공읍,4117
2231013,다사읍,1539
2231035,유가읍,518
2231033,옥포읍,498
2231034,현풍읍,1080
2231031,가창면,93
2231032,하빈면,170
2231036,구지면,1421
2301052,연안동,492
2301053,신포동,586
2301054,신흥동,807
2301056,도원동,183
2301057,율목동,239
2301058,동인천동,447
2301060,북성동,700
2301061,송월동,336
2301063,용유동,140
2301064,운서동,1139
2301062,영종동,569
2301066,영종1동,1260
2302051,만석동,270
2302052,화수1·화평동,209
2302053,화수2동,195
2302055,송현1·2동,244
2302057,송현3동,196
2302058,송림1동,55
2302059,송림2동,80
2302060,송림3·5동,171
2302061,송림4동,141
2302063,송림6동,203
2302064,금창동,64
2304051,옥련1동,834
2304052,선학동,2429
2304053,연수1동,7713
2304054,연수2동,1162
2304055,연수3동,391
2304056,청학동,1602
2304057,동춘1동,456
2304058,동춘2동,287
2304059,동춘3동,154
2304060,옥련2동,678
2304064,송도1동,1417
2304065,송도3동,1808
2304063,송도2동,1296
2304066,송도4동,473
2304067,송도5동,541
2305051,구월1동,707
2305052,구월2동,420
2305053,구월3동,1675
2305054,구월4동,600
2305055,간석1동,838
2305056,간석2동,686
2305057,간석3동,1669
2305058,간석4동,1616
2305059,만수1동,445
2305060,만수2동,445
2305061,만수3동,469
2305062,만수4동,263
2305063,만수5동,420
2305064,만수6동,282
2305065,장수서창동,317
2305072,논현1동,1013
2305073,논현2동,2883
2305074,논현고잔동,5187
2305067,남촌도림동,1568
2305075,서창2동,660
2306051,부평1동,3298
2306052,부평2동,2355
2306053,부평3동,1088
2306054,부평4동,4479
2306055,부평5동,5479
2306056,부평6동,2252
2306057,산곡1동,319
2306058,산곡2동,300
2306059,산곡3동,305
2306060,산곡4동,140
2306061,청천1동,678
2306062,청천2동,1318
2306063,갈산1동,616
2306064,갈산2동,419
2306065,삼산1동,601
2306066,부개1동,773
2306067,부개2동,568
2306068,부개3동,484
2306069,일신동,424
2306070,십정1동,850
2306071,십정2동,2932
2306072,삼산2동,253
2307051,효성1동,440
2307052,효성2동,757
2307053,계산1동,759
2307054,계산2동,916
2307055,계산3동,331
2307056,작전1동,474
2307057,작전2동,476
2307058,작전서운동,794
2307061,계양2동,877
2307062,계산4동,260
2307063,계양1동,439
2307064,계양3동,612
2308051,검암경서동,2006
2308053,연희동,1125
2308054,가정1동,851
2308055,가정2동,143
2308056,가정3동,205
2308058,석남1동,1183
2308059,석남2동,1722
2308060,석남3동,501
2308062,가좌1동,2286
2308063,가좌2동,289
2308064,가좌3동,671
2308065,가좌4동,450
2308073,신현원창동,1409
2308074,청라1동,570
2308078,청라2동,889
2308079,청라3동,574
2308080,검단동,2208
2308081,불로대곡동,680
2308082,원당동,552
2308083,당하동,623
2308084,오류왕길동,3139
2308085,마전동,460
2303052,숭의2동,837
2303054,숭의4동,936
2303056,용현2동,475
2303057,용현3동,364
2303059,용현5동,1204
2303060,학익1동,636
2303061,학익2동,254
2303062,도화1동,1160
2303065,주안1동,1578
2303066,주안2동,435
2303067,주안3동,219
2303068,주안4동,413
2303069,주안5동,1560
2303070,주안6동,816
2303071,주안7동,311
2303072,주안8동,470
2303073,관교동,315
2303074,문학동,388
2303075,숭의1·3동,996
2303076,용현1·4동,2365
2303077,도화2·3동,1262
2331011,강화읍,558
2331031,선원면,149
2331032,불은면,267
2331033,길상면,124
2331034,화도면,65
2331035,양도면,77
2331036,내가면,75
2331037,하점면,86
2331038,양사면,31
2331039,송해면,131
2331040,교동면,61
2331041,삼산면,75
2331042,서도면,7
2332031,북도면,13
2332032,연평면,68
2332033,백령면,112
2332034,대청면,26
2332035,덕적면,17
2332036,자월면,36
2332037,영흥면,141
2401051,충장동,112
2401054,동명동,286
2401056,계림1동,104
2401058,계림2동,78
2401059,산수1동,145
2401061,산수2동,78
2401062,지산1동,410
2401063,지산2동,326
2401064,서남동,545
2401068,학동,166
2401071,학운동,181
2401072,지원1동,93
2401073,지원2동,128
2402051,양동,71
2402053,양3동,84
2402054,농성1동,181
2402055,농성2동,88
2402056,광천동,128
2402057,유덕동,209
2402058,상무1동,364
2402059,상무2동,415
2402060,화정1동,224
2402061,화정2동,143
2402062,화정3동,107
2402063,화정4동,137
2402064,서창동,140
2402066,치평동,334
2402067,풍암동,398
2402068,금호1동,244
2402069,금호2동,154
2402070,동천동,235
2403051,양림동,74
2403052,방림1동,85
2403053,방림2동,112
2403054,사직동,117
2403057,월산동,90
2403060,월산4동,223
2403061,월산5동,96
2403062,백운1동,132
2403063,백운2동,105
2403064,주월1동,304
2403065,주월2동,133
2403066,효덕동,754
2403067,송암동,409
2403068,봉선1동,200
2403069,봉선2동,154
2403070,대촌동,141
2404051,중흥1동,93
2404052,중흥2동,127
2404053,중흥3동,125
2404054,중앙동,49
2404055,임동,133
2404056,신안동,189
2404057,용봉동,2345
2404058,운암1동,141
2404059,운암2동,217
2404060,운암3동,145
2404061,동림동,298
2404062,우산동,233
2404063,풍향동,71
2404064,문화동,254
2404065,문흥1동,146
2404066,문흥2동,298
2404067,두암1동,172
2404068,두암2동,249
2404069,두암3동,142
2404070,삼각동,179
2404071,매곡동,115
2404072,오치1동,399
2404073,오치2동,189
2404074,석곡동,67
2404078,일곡동,343
2404079,건국동,852
2404080,양산동,980
2404081,신용동,360
2405051,송정1동,475
2405052,송정2동,306
2405054,도산동,483
2405055,신흥동,128
2405056,어룡동,2211
2405058,우산동,1359
2405059,월곡1동,2196
2405060,월곡2동,5446
2405061,비아동,678
2405063,하남동,2545
2405064,임곡동,91
2405065,동곡동,109
2405066,평동,1727
2405067,삼도동,64
2405068,본량동,28
2405069,첨단1동,209
2405070,첨단2동,1457
2405071,운남동,734
2405073,신창동,374
2405074,신가동,363
2405075,수완동,1149
2501053,효동,349
2501055,판암1동,122
2501056,판암2동,189
2501057,용운동,853
2501060,자양동,2455
2501063,가양1동,508
2501064,가양2동,406
2501065,용전동,421
2501068,홍도동,511
2501073,대청동,22
2501075,산내동,374
2501076,중앙동,114
2501077,신인동,208
2501078,대동,197
2501079,성남동,243
2501080,삼성동,331
2502051,은행선화동,385
2502053,목동,104
2502054,중촌동,251
2502055,대흥동,239
2502056,문창동,130
2502057,석교동,296
2502058,대사동,122
2502059,부사동,145
2502060,용두동,145
2502062,오류동,117
2502063,태평1동,141
2502064,태평2동,201
2502065,유천1동,128
2502066,유천2동,230
2502067,문화1동,185
2502068,문화2동,186
2502069,산성동,559
2503051,복수동,280
2503052,도마1동,629
2503053,도마2동,816
2503054,정림동,226
2503055,변동,303
2503056,용문동,247
2503057,탄방동,351
2503059,둔산1동,158
2503060,둔산2동,203
2503061,괴정동,297
2503062,가장동,114
2503063,내동,247
2503064,갈마1동,290
2503065,갈마2동,303
2503066,월평1동,332
2503067,월평2동,149
2503068,월평3동,122
2503069,만년동,307
2503070,가수원동,548
2503071,기성동,60
2503072,관저1동,171
2503073,관저2동,459
2503074,둔산3동,111
2504051,진잠동,484
2504054,온천2동,3762
2504055,신성동,1153
2504057,전민동,388
2504059,노은1동,253
2504061,구즉동,723
2504063,관평동,887
2504064,온천1동,941
2504065,원신흥동,509
2504066,노은2동,249
2504067,노은3동,358
2505051,오정동,924
2505052,대화동,543
2505053,회덕동,344
2505054,비래동,203
2505055,중리동,526
2505056,법1동,203
2505057,법2동,133
2505058,신탄진동,330
2505059,석봉동,290
2505060,덕암동,503
2505061,목상동,510
2505062,송촌동,255
2601051,학성동,499
2601052,반구1동,690
2601053,반구2동,278
2601054,복산1동,82
2601055,복산2동,194
2601059,우정동,281
2601060,태화동,284
2601061,다운동,418
2601062,병영1동,493
2601063,병영2동,455
2601064,약사동,86
2601066,성안동,239
2601067,중앙동,418
2602051,신정1동,502
2602052,신정2동,364
2602053,신정3동,391
2602054,신정4동,333
2602055,신정5동,206
2602056,달동,535
2602057,삼산동,1067
2602058,삼호동,455
2602059,무거동,1739
2602060,옥동,278
2602061,야음장생포동,1451
2602062,대현동,572
